condition,response,row_number,index_observation,index_utterance,id
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",16,28,9
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,9
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,9
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",11,15,45
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",5,14,45
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,45
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,45
0,"['none', 'all', 'right']","[9, 9, 9, 0, 0]",2,6,45
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,45
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,45
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",6,28,45
1,"['most', 'most', 'right']","[12, 12, 12, 9, 9]",16,20,45
1,"['most', 'some', 'right']","[9, 9, 3, 0, 0]",17,18,45
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,45
0,"['some', 'some', 'right']","[12, 12, 12, 12, 12]",1,10,45
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,45
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,45
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",19,18,45
1,"['all', 'some', 'right']","[9, 9, 9, 3, 3]",13,26,45
0,"['most', 'some', 'wrong']","[12, 12, 9, 3, 3]",9,19,45
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,45
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,45
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",18,20,8
0,"['some', 'some', 'wrong']","[12, 12, 12, 3, 3]",8,11,8
0,"['some', 'some', 'wrong']","[12, 12, 9, 3, 3]",9,11,8
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,8
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,8
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,21,8
0,"['most', 'most', 'wrong']","[12, 12, 0, 0, 0]",4,21,8
1,"['some', 'some', 'right']","[12, 12, 3, 0, 0]",11,10,8
1,"['some', 'some', 'right']","[9, 9, 3, 0, 0]",17,10,8
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,11,8
0,"['most', 'some', 'wrong']","[12, 12, 9, 0, 0]",5,19,8
1,"['most', 'some', 'right']","[9, 9, 9, 3, 3]",13,18,8
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,8
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",0,26,8
1,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,8
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,8
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,22
0,"['some', 'some', 'wrong']","[12, 12, 9, 0, 0]",5,11,22
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,22
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,22
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,22
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,22
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,22
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,22
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,22
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,22
1,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",3,20,22
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,22
0,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",1,25,22
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,21,22
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,22
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,22
0,"['some', 'some', 'right']","[12, 12, 9, 9, 9]",6,10,22
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,22
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,22
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,22
1,"['some', 'some', 'right']","[9, 9, 0, 0, 0]",14,10,62
1,"['most', 'some', 'right']","[12, 12, 3, 3, 3]",10,18,62
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",18,20,62
1,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",3,20,62
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,21,62
0,"['most', 'some', 'wrong']","[9, 9, 3, 3, 3]",0,19,62
0,"['most', 'some', 'wrong']","[12, 12, 3, 0, 0]",11,19,62
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,62
0,"['some', 'some', 'wrong']","[12, 12, 12, 3, 3]",8,11,62
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,62
0,"['most', 'most', 'wrong']","[12, 12, 0, 0, 0]",4,21,62
1,"['most', 'some', 'right']","[12, 12, 9, 0, 0]",5,18,62
0,"['some', 'some', 'wrong']","[9, 9, 9, 0, 0]",2,11,62
0,"['some', 'some', 'wrong']","[12, 12, 9, 3, 3]",9,11,62
0,"['some', 'none', 'wrong']","[12, 12, 12, 12, 12]",1,9,62
1,"['some', 'most', 'wrong']","[0, 0, 0, 0, 0]",15,13,62
0,"['some', 'some', 'wrong']","[9, 9, 3, 0, 0]",17,11,62
1,"['some', 'most', 'right']","[12, 12, 12, 9, 9]",16,12,62
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,65
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,65
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,65
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,65
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",6,28,65
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",17,21,65
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,65
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,13,65
1,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",15,24,65
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,65
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,65
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,65
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,65
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,65
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,65
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,65
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,65
0,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",1,25,65
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,65
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,65
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,20
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,20
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,20
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,20
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,20
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,20
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,20
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",19,18,20
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,20
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,20
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,20
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,20
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,20
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,20
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,20
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,20
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,20
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,20
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,20
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,20
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,39
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,39
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,39
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,39
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,39
1,"['all', 'most', 'wrong']","[0, 0, 0, 0, 0]",15,29,39
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,39
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,39
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,39
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,21,39
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",5,20,39
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,39
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,39
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,39
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,39
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,39
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,39
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",11,21,39
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,39
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,39
1,"['some', 'most', 'right']","[9, 9, 9, 3, 3]",13,12,26
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,26
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,26
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,26
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,11,26
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,26
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,26
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,26
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,26
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,26
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,26
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,26
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,26
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,26
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,26
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,26
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,26
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,26
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,28
1,"['some', 'all', 'right']","[12, 12, 12, 3, 3]",8,14,28
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,28
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,28
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",11,21,28
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,28
1,"['none', 'all', 'right']","[0, 0, 0, 0, 0]",15,6,28
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,28
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,28
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",16,28,28
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,28
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,28
0,"['most', 'some', 'wrong']","[12, 12, 9, 0, 0]",5,19,28
0,"['most', 'most', 'right']","[12, 12, 12, 12, 12]",1,20,28
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,28
0,"['all', 'some', 'wrong']","[9, 9, 3, 3, 3]",0,27,28
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",6,28,28
0,"['all', 'some', 'wrong']","[9, 9, 0, 0, 0]",14,27,28
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,28
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,28
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,29
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,29
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,29
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,29
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",13,6,29
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,29
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",3,6,29
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,29
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,29
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,29
0,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",5,20,29
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,29
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,29
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,29
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,29
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,29
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",16,28,29
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",11,15,29
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,29
0,"['some', 'none', 'right']","[9, 9, 0, 0, 0]",14,8,34
1,"['some', 'all', 'right']","[12, 12, 12, 3, 3]",8,14,34
0,"['all', 'some', 'wrong']","[9, 9, 3, 0, 0]",17,27,34
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,34
1,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,34
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,34
0,"['some', 'some', 'right']","[12, 12, 12, 12, 12]",1,10,34
1,"['some', 'most', 'right']","[9, 9, 9, 0, 0]",2,12,34
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,34
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",13,27,34
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",0,26,34
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,13,34
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,34
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,34
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,34
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,34
0,"['all', 'some', 'wrong']","[3, 3, 3, 3, 3]",7,27,34
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,34
0,"['some', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,15,34
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",6,28,34
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,6
1,"['some', 'some', 'wrong']","[3, 3, 3, 3, 3]",7,11,6
0,"['most', 'some', 'right']","[12, 12, 12, 12, 12]",1,18,6
1,"['most', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,23,6
1,"['most', 'some', 'right']","[9, 9, 3, 3, 3]",0,18,6
1,"['some', 'most', 'right']","[12, 12, 3, 3, 3]",10,12,6
0,"['most', 'some', 'wrong']","[12, 12, 9, 0, 0]",5,19,6
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,6
1,"['some', 'some', 'wrong']","[3, 3, 0, 0, 0]",12,11,6
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,6
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,6
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,6
0,"['some', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,15,6
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,6
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,6
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,6
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,6
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",9,20,10
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,10
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,10
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,10
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,10
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,10
0,"['some', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,15,10
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",17,21,10
0,"['some', 'all', 'right']","[12, 12, 12, 12, 12]",1,14,10
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,10
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,10
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,10
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,10
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",5,14,10
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,10
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,10
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,10
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",13,6,10
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,10
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,10
0,"['some', 'none', 'right']","[9, 9, 9, 0, 0]",2,8,68
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,13,68
1,"['some', 'all', 'right']","[12, 12, 12, 0, 0]",18,14,68
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,68
0,"['some', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,15,68
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,68
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,68
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,68
1,"['none', 'all', 'right']","[0, 0, 0, 0, 0]",15,6,68
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,68
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,68
0,"['some', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,13,68
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,68
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,68
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,68
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,68
1,"['all', 'some', 'right']","[12, 12, 12, 3, 3]",8,26,68
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,68
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,68
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,68
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,74
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,74
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,74
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,74
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,74
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,74
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,74
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,74
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,74
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,74
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,74
0,"['some', 'none', 'right']","[9, 9, 9, 0, 0]",2,8,74
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",19,15,74
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,74
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,74
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,74
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,74
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,74
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",6,28,74
0,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",15,24,74
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,7
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",11,15,7
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,7
1,"['some', 'all', 'right']","[12, 12, 12, 3, 3]",8,14,7
1,"['some', 'most', 'right']","[9, 9, 9, 3, 3]",13,12,7
1,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",15,24,7
0,"['all', 'some', 'wrong']","[3, 3, 3, 3, 3]",7,27,7
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,7
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,7
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,7
0,"['some', 'all', 'right']","[12, 12, 12, 12, 12]",1,14,7
0,"['some', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,15,7
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,7
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,7
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,7
1,"['some', 'all', 'right']","[12, 12, 9, 9, 9]",6,14,7
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,7
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,7
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,7
0,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,36
1,"['some', 'none', 'right']","[12, 12, 9, 0, 0]",5,8,36
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,36
0,"['some', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,15,36
0,"['some', 'all', 'right']","[12, 12, 12, 0, 0]",18,14,36
1,"['most', 'some', 'right']","[12, 12, 9, 3, 3]",9,18,36
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,36
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,36
0,"['most', 'some', 'wrong']","[9, 9, 0, 0, 0]",14,19,36
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",0,26,36
0,"['most', 'most', 'wrong']","[3, 3, 0, 0, 0]",12,21,36
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,36
0,"['most', 'some', 'wrong']","[9, 9, 9, 0, 0]",2,19,36
1,"['all', 'some', 'right']","[12, 12, 12, 3, 3]",8,26,36
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,36
0,"['some', 'most', 'wrong']","[12, 12, 3, 0, 0]",11,13,36
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",13,27,36
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,36
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,36
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,73
0,"['some', 'most', 'right']","[9, 9, 9, 0, 0]",2,12,73
0,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,73
1,"['some', 'some', 'wrong']","[9, 9, 3, 3, 3]",0,11,73
0,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,73
0,"['none', 'all', 'right']","[0, 0, 0, 0, 0]",15,6,73
1,"['most', 'most', 'right']","[12, 12, 12, 3, 3]",8,20,73
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,29,73
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,73
0,"['some', 'some', 'right']","[9, 9, 3, 0, 0]",17,10,73
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,73
0,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,73
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,73
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,73
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,73
0,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",5,14,73
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",16,28,73
0,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,73
0,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,73
1,"['some', 'most', 'right']","[9, 9, 9, 3, 3]",13,12,73
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,69
1,"['some', 'all', 'right']","[12, 12, 12, 0, 0]",18,14,69
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,69
0,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,69
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,69
0,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,69
0,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,69
0,"['some', 'most', 'wrong']","[12, 12, 0, 0, 0]",4,13,69
1,"['some', 'some', 'right']","[3, 3, 3, 3, 3]",7,10,69
0,"['some', 'some', 'right']","[9, 9, 3, 3, 3]",0,10,69
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,69
0,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,69
0,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,69
1,"['some', 'some', 'right']","[9, 9, 9, 3, 3]",13,10,69
1,"['some', 'none', 'right']","[0, 0, 0, 0, 0]",15,8,69
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,69
1,"['some', 'some', 'right']","[9, 9, 9, 0, 0]",2,10,69
0,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",3,20,69
0,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,69
0,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",5,14,69
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,66
